id,input,expected_output
11,"{""caption"": ""Agenda del Black Bourbon del 12 al 15 de Diciembre 📍 Calle Puerta Sol 8, León\n\nJUEVES 12 – JAM SESSION 📆 Todos los jueves ✅ Apertura 21:00h 🎸 Inicio 22:00h 🎟️ Entrada Gratuita. 🎶 Estilo: Jam session (blues, soul, rock, pop y metal) 🍺 Consumición mínima obligatoria\n\nVIERNES 13 - NASHVILLE ✅Apertura 21:00 🎸Inicio 21:00h 🎟️ Entrada única 5€ 🎶 Estilo: Rock Sureño, Blues 🗺️ Origen: León\n\nSÁBADO 14 - NURCRY ✅Apertura 21:00 🎸Inicio 22:00h 🎟️ Entrada única 15€ 🌎 Online: ticketandroll.com 🎶 Estilo: Heavy Metal 🗺️ Origen: Madrid\n\nDOMINGO 15 – DOMINGOS DE SWING – ESPECIAL NAVIDAD ✅Apertura 18:00h 🎸Inicio 18:00h 🎟️ Entrada Gratuita 🎶 Estilo: Baile Swing 🍺 Consumición mínima obligatoria *Recomendable traer atuendo navideño"", ""date"": ""12-12-2024"", ""image_path"": ""img/img11.png""}","{""artistas"": [""Jam Session"", ""Nashville"", ""Nurcry"", ""Domingos de Swing""], ""fecha"": [""12-12-2024 22:00"", ""13-12-2024 21:00"", ""14-12-2024 22:00"", ""15-12-2024 18:00""], ""ubicacion"": [""BlackBourbon"", ""Calle Puerta Sol 8"", ""León""]}"
12,"{""caption"": ""🐍 Malandar LOL  / Crazy Club Every Weekend ✨\n\n🗓️ VIERNES 20 DIC con Milana , L·Nita & Nick Bennett\n\n🗓️ SÁBADO 21 DIC con L·Nita, Rodama & L.Soldevilla\n\nHOUSE / DISCO / FUNK / LATIN BEATS & HITS\n\n👉🏼MALANDAR LOL es un nuevo concepto de fiesta. La fiesta definitiva de los findes en Sevilla! Un club loco que mezcla Hits sin prejuicios para que luzca con orgullo tus pasos prohibidos, disfraces, animación y muchas ganas de pasarlo bien bailando la electrónica más divertida. Da igual con quién estés, si entras en Malandar LOL ya no sabes cómo salir de ahí. Te parte la tarde. La noche. La madrugá. Yo qué sé! Ven, baila, pega cuatro volteretas y sacúdete la ansiedad !!!\n\n🎟️ Entrada Gratis hasta la 01:30h si te inscribes en SalaMalandar.com (Link en BIO) / Fuera de lista 10€ con copa ó 2 cervezas 🍻"", ""date"": ""18-12-2024""}","{""artistas"": [""Milana"", ""L·Nita & Nick Bennett"", ""L·Nita"", ""Rodama & L.Soldevilla""], ""fecha"": [""20-12-2024"", ""21-12-2024""], ""ubicacion"": [""Malandar Music Club""]}"
13,"{""caption"": ""Vamos a por la semana vas variopinta del mes, desde el suave sonido de Albino Rhino 🦏 hasta los insaciables ritmos de A nosa verbena 🪇, pasando por la energía de Ponzano 🧌, con la sutileza de Ya no puedes verme 🙅🏽 y la frescura en El local🛐; sin olvidarse del fantástico homenaje a Lou Reed y The Velvet Underground 💎que se está preparando para el domingo. Desliza y descubre la programación de esta semana👇 ✹ Miércoles 19 @creaenlamilagrosa son dream-punk con trazas de post-pop; nacidos en 2022, presentan ‘Ya no me duele mal’ su primer LP, en la ciudad que les ha visto crecer. ¡SOLD OUT! ✹ Jueves 20 @aaronrux presentará Albino Rhino, su tercer álbum, que rinde homenaje a la caótica belleza de estas carreras de choque. ¡Todavía quedan entradas en @dice_spain ! ✹ Viernes 21 @ortiga.ortiga.ortiga es uno de los embajadores subterráneos de una fusión que derriba géneros para alumbrar un sonido absolutamente personal. Referente alternativa de la recuperación del sonido de verbena y de la reivindicación de géneros como el merengue, la cumbia o el electro-latina desde una mirada contemporánea. ¡SOLD OUT! ✹ Sábado 22 @extranospasajeros lleva unos meses trabajando y se presentan con nuevo EP recién salido del horno, ‘Silencios complicados. Están listos para hacerte bailar junto con @simunn.p como artista invitado, prepárate para una fiesta épica y buena música. ✹ Domingo 23 El domingo nos reuniremos para celebrar la vida y la obra en solitario, en colaboración y, por supuesto, al frente de THE VELVET UNDERGROUD de Lou Reed. Será de la mano de @mariajesusysuhijo, banda madrileña de culto que, precisamente, comenzó su andadura haciendo versiones de la VU. 🎫 + info salaelsol.com Una programación alucinante que es posible también gracias al trabajo y apoyo de @aduriztalent @mazo.madriz @volcanmusica @rasoestudio @elsantoinmortalprod #febrero #agendadeconciertos #ElSol #ElSolMadrid #SalaElSol #conciertoselsol #conciertosmadrid #livemusicMadrid #inviernoenMadrid #2025"", ""date"": ""17-02-2025""}","{""artistas"": [""Albino Rhino, A nosa verbena, Ponzano, Ya no puedes verme, El local, creaenlamilagrosa, aaronrux, ortiga.ortiga.ortiga, extranospasajeros, simunn.p, Maria Jesus y Suhijo, Lou Reed and The Velvet Underground""], ""fecha"": [""19-02-2025 00:00, 20-02-2025 00:00, 21-02-2025 00:00, 22-02-2025 00:00, 23-02-2025 00:00""], ""ubicacion"": [""Sala El Sol""]}"
14,"{""caption"": ""Os dejamos un breve reportaje fotográfico del concierto de @ditzband del jueves pasado. ¡Todavía seguimos en shock! 🤯 Plss guys, come back soon!🫶🏻 📷 @musicazul"", ""date"": ""09-02-2025"", ""image_path"": ""img/img14.png""}","{""artistas"": [""Ditzband""], ""fecha"": [""06-02-2025""], ""ubicacion"": [""Sala El Sol""]}"
15,"{""caption"": ""La magia del jazz te espera en Café Mercedes Pau Viguer Mercedes Sayas"", ""date"": ""09-11-2023"", ""image_path"": ""img/img15.png""}","{""artista"": [""Pau Viguer"", ""Mercedes Sayas""], ""fecha"": [""10-11-2023""], ""ubicacion"": [""Café Mercedes Jazz""]}"
16,"{""caption"": ""Que pasa se xuntas ás dúas compañías de impro más cool da cidade, os veteranos TheMomento e as novas fenómenas, As Teimas? Pois un festival de comedia instántea, humor directo e historias improvisadas, un espectáculo como nunca viches, un Tremendo Show."", ""date"": ""11-02-2025"", ""image_path"": ""img/img16.png""}","{""artista"": [""TheMomento"", ""As Teimas""], ""fecha"": [""19-02-2025""], ""ubicacion"": [""Sala Capitol""]}"
17,"{""caption"": ""@salacapitol | @nickwaterhouse | 23.04.2025 | 21:30h Entradas en www.salacapitol.com e @areixa.tenda"", ""date"": ""07-02-2025"", ""image_path"": ""img/img17.png""}","{""artista"": [""Nick Waterhouse""], ""fecha"": [""23-04-2025 21:30""], ""ubicacion"": [""Sala Capitol""]}"
18,"{""caption"": ""@fantasticnegrito gañador de tres premios GRAMMY®, aterrizará na @salacapitol este próximo verán (28/07/2025) cun concerto que de seguro será inolvidable. Entradas en www.salacapitol.com e @areixa.tenda"", ""date"": ""04-02-2025"", ""image_path"": ""img/img18.png""}","{""artista"": [""Fantastic Negrito""], ""fecha"": [""28-07-2025""], ""ubicacion"": [""Sala Capitol""]}"
19,"{""caption"": ""shego es una banda de rock afincada en Madrid. Maite, Raquel y Charlotte están a punto de hacer que todo salte por los aires. Aquí queda el aviso. En los últimos meses, han publicado ‘La fiesta’, ‘arghHhh!’ y ‘Aunque duela’, los primeros adelantos de ‘No lo volveré hacer’, el que será su segundo disco, que verá la luz a comienzos de 2025. Lo nuevo de shego es impecable, fresco, cargado de destellos. Descaradas. Arrolladoras. Perfectas. Canciones directas, que interpelan, en las que estribillos memorables se mezclan con letras mordaces de las que ya nunca podrás salir."", ""date"": ""26-02-2025"", ""image_path"": ""img/img19.png""}","{""artista"": [""shego""], ""fecha"": [""15-03-2025 21:00""], ""ubicacion"": [""Circulo de Arte Toledo""]}"
20,"{""caption"": ""Inclasificable y cautivadora, así es María Luisa Ramírez, Maui para el arte, nacida en Utrera, una de las cunas del flamenco. Con una forma diferente de entender este arte, la de Utrera diluye fronteras y estereotipos con su música y una puesta en escena cargada de teatralidad, compás, humor y con ese sello inconfundible que resulta su personalidad sutilmente arrolladora.. Lejos de cualquier etiqueta conocida, han llegado a decir de ella que es la Björk de Utrera, la Lady Gaga del flamenco, la Woody Allen de la canción, ... pero es simplemente Maui, única en su especie"", ""date"": ""26-02-2025"", ""image_path"": ""img/img20.png""}","{""artista"": [""Maui""], ""fecha"": [""8-03-2025 20:30""], ""ubicacion"": [""Circulo de Arte Toledo""]}"
21,"{""caption"": ""Espectáculo flamenco con:\nMaribel Montes (Baile)\nRocío Camacho (Cante)\nMiguel Laguna (Cante)\nJuan Camacho (Guitarra)\nLola Jimena (Guitarra)"", ""date"": ""26-02-2025"", ""image_path"": ""img/img21.png""}","{""artista"": [""Maribel Montes"", ""Rocío Camacho"", ""Miguel Laguna"", ""Juan Camacho"", ""Lola Jimena""], ""fecha"": [""27-02-2025""], ""ubicacion"": [""Circulo de Arte Toledo""]}"
22,"{""caption"": ""Menudos Swingvergüenzas los que nos esperan en Port of Spain el 28 febrero a las 22:00... 😆\nMás que un grupo es una amalgama de músicos de la escena del #jazz almeriense que nos hacen viajar al Nueva Orleans a través de su música, No hay clásico del #swing jazz primigenio o second line que no esté en su repertorio. Tanto es así que les apodan los vinilos del jazz."", ""date"": ""27-02-2025""}","{""artista"": [""Menudos Swingvergüenzas""], ""fecha"": [""28-02-2025 22:00""], ""ubicacion"": [""Port of Spain - Clasijazz""]}"
23,"{""caption"": ""Falsas Nubes y !Banga 👉 Grupo almeriense creado por el guitarrista Nacho Martínez en 2022. Su estilo es la combinación de rock alternativo y shoegaze, creando así paisajes sonoros.\nEstarán con nosotros el Viernes 28 febrero a las 22:00 😁 ¿Tienes ya tu entrada?\nDesde su formación, han capturado la atención de la escena local con su sonido único y sus presentaciones en vivo, prometiendo ser una de las revelaciones más interesantes del panorama musical local. Junto a ellos se estrenará la banda con sonido emo Banga."", ""date"": ""26-02-2025""}","{""artista"": [""Falsas Nubes y !Banga""], ""fecha"": [""28-02-2025 22:00""], ""ubicacion"": [""Clasijazz""]}"
24,"{""caption"": ""👩‍🎤 MUJERES EN VIVO 2025\n¿Aún no tienes planes para marzo? 🎸🎷\nTe proponemos una experiencia única‼\n🗓 Miércoles 12 de marzo:\n🎸 ROCK'N'HEELS MUJERES ROCKERAS\n📍 Honky Tonk Bar\n⌚ 00:15h.\n🗓 Jueves 13 de marzo:\n🎸 MARTA GÓMEZ\n📍 Café Berlin\n⌚ 20:00h.\n🎸 PASTORA ANDRADES\n📍 Café El Despertar\n⌚ 20:30h.\n🎸 GALA NELL\n📍 Moby Dick Club\n⌚ 20:30h.\n🎸 CRIS MENDEZ\n📍 Sala Búho Real\n⌚ 21:00h.\n🎸 MARIA ZERPA Y LOS OCELOTES\n📍 El Intruso\n⌚ 21:30h.\n🎸 LA DESPEDIDA\n📍 Microteatro Por Dinero\n⌚ 22:00h.\n🎸 AIXA\n📍 Maravillas Club\n⌚ 21:00h.\n🗓 Viernes 14 de marzo:\n🎸 WOMAN POWER + A TEMPO\n📍 RINCON DEL ARTE NUEVO\n⌚ 20:00h\n🎸 BRAVA\n📍EL SÓTANO\n⌚ 20:30h\n🔎Consulta la programación completa de #MujeresenVivo en madridenvivo.com\nMujeres en Vivo es un ciclo organizado por Madrid en Vivo, con la colaboración de la Dirección General de la Mujer de la Comunidad de Madrid a través de su Subdirección General de Mujer e Igualdad de Oportunidades #MujeresenVivo2025 #conciertos #Madrid #salasdeconciertos #salas #salasdemusica #musica #musicaenvivo #cultura #planes #planesMadrid #culturaMadrid #diainternacionaldelamujer 🎫 Entradas e Info del ciclo en nuestra web ⬇'https://madridenvivo.com (LINK EN BIO)'"", ""date"": ""25-02-2025""}","{""artista"": [""ROCK'N'HEELS MUJERES ROCKERAS"", ""MARTA GÓMEZ"", ""PASTORA ANDRADES"", ""GALA NELL"", ""CRIS MENDEZ"", ""MARIA ZERPA Y LOS OCELOTES"", ""LA DESPEDIDA"", ""AIXA"", ""WOMAN POWER + A TEMPO"", ""BRAVA""], ""fecha"": [""12-03-2025 00:15h."", ""13-03-2025 20:00h."", ""13-03-2025 20:30h."", ""13-03-2025 20:30h."", ""13-03-2025 21:00h."", ""13-03-2025 21:30h."", ""13-03-2025 22:00h."", ""14-03-2025 21:00h."", ""14-03-2025 20:00h."", ""14-03-2025 20:30h.""], ""ubicacion"": [""Honky Tonk Bar"", ""Café Berlin"", ""Café El Despertar"", ""Moby Dick Club"", ""Sala Búho Real"", ""El Intruso"", ""Microteatro Por Dinero"", ""Maravillas Club"", ""RINCON DEL ARTE NUEVO"", ""EL SÓTANO""]}"
25,"{""caption"": ""Grison \""EN BUCLE\"" el 17 de mayo en Sevilla (Sala Custom) 😎\nEntradas disponibles en https://www.tomaticket.es/es-es/entradas-grison-en-sevilla"", ""date"": ""24-02-2025"", ""image_path"": ""img/img25.png""}","{""artista"": [""Grison""], ""fecha"": [""17-05-2025""], ""ubicacion"": [""Sala Custom""]}"
26,"{""caption"": ""Gloosito, referente del nuevo rap español, anuncia una ambiciosa gira nacional, con parada el 30/05 en la Sala Custom (Sevilla) 🔥\nPresentando “EUROSLiME” (Atlantic Records), su álbum debut. Una propuesta cruda, auténtica y callejera que refleja a una generación emergente y marca el futuro del género urbano.\n🎫 Preventa SMusic: 18/02 a las 12h.\n🎫 Preventas planetevents.es y livenation.es: 19/02 a las 12h.\n🎟️ Venta planetevents.es, livenation.es, Ticketmaster y El Corte Inglés: 20/02 a las 12h."", ""date"": ""18-02-2025"", ""image_path"": ""img/img26.png""}","{""artista"": [""Gloosito""], ""fecha"": [""30-05-2025""], ""ubicacion"": [""Sala Custom""]}"
